,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,trackName,artistName,explicit,popularity
292,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
293,0.179,0.12,2,-18.381,1,0.0502,0.99,0.879,0.0433,0.0717,130.36,3suCGJP93QDQftVzFdG3oj,123000,1,"Binary Sunset (Force Theme) [From ""Star Wars - A New Hope""]",The Eternal Dreamers,False,42
294,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
295,0.179,0.12,2,-18.381,1,0.0502,0.99,0.879,0.0433,0.0717,130.36,3suCGJP93QDQftVzFdG3oj,123000,1,"Binary Sunset (Force Theme) [From ""Star Wars - A New Hope""]",The Eternal Dreamers,False,42
296,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
297,0.179,0.12,2,-18.381,1,0.0502,0.99,0.879,0.0433,0.0717,130.36,3suCGJP93QDQftVzFdG3oj,123000,1,"Binary Sunset (Force Theme) [From ""Star Wars - A New Hope""]",The Eternal Dreamers,False,42
298,0.179,0.12,2,-18.381,1,0.0502,0.99,0.879,0.0433,0.0717,130.36,3suCGJP93QDQftVzFdG3oj,123000,1,"Binary Sunset (Force Theme) [From ""Star Wars - A New Hope""]",The Eternal Dreamers,False,42
299,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,0F7FA14euOIX8KcbEturGH,113000,4,Old Town Road,Lil Nas X,False,78
300,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
301,0.179,0.12,2,-18.381,1,0.0502,0.99,0.879,0.0433,0.0717,130.36,3suCGJP93QDQftVzFdG3oj,123000,1,"Binary Sunset (Force Theme) [From ""Star Wars - A New Hope""]",The Eternal Dreamers,False,42
