,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName,artistName
11787,0.237,0.543,7,-8.921,1,0.0372,0.838,3.86e-06,0.0961,0.316,73.896,audio_features,7fpWJr5shT90KiCHXKHxch,spotify:track:7fpWJr5shT90KiCHXKHxch,https://api.spotify.com/v1/tracks/7fpWJr5shT90KiCHXKHxch,https://api.spotify.com/v1/audio-analysis/7fpWJr5shT90KiCHXKHxch,305613,4,Phir Le Aya Dil - Reprise,Pritam
11788,0.534,0.863,0,-4.616,1,0.0357,0.0152,0.0167,0.144,0.374,98.006,audio_features,5VSJ9OfZx8V91A7u8Fuoh1,spotify:track:5VSJ9OfZx8V91A7u8Fuoh1,https://api.spotify.com/v1/tracks/5VSJ9OfZx8V91A7u8Fuoh1,https://api.spotify.com/v1/audio-analysis/5VSJ9OfZx8V91A7u8Fuoh1,313163,4,Aaoge Tum Kabhi,The Local Train
11789,0.534,0.863,0,-4.616,1,0.0357,0.0152,0.0167,0.144,0.374,98.006,audio_features,5VSJ9OfZx8V91A7u8Fuoh1,spotify:track:5VSJ9OfZx8V91A7u8Fuoh1,https://api.spotify.com/v1/tracks/5VSJ9OfZx8V91A7u8Fuoh1,https://api.spotify.com/v1/audio-analysis/5VSJ9OfZx8V91A7u8Fuoh1,313163,4,Aaoge Tum Kabhi,The Local Train
11790,0.534,0.863,0,-4.616,1,0.0357,0.0152,0.0167,0.144,0.374,98.006,audio_features,5VSJ9OfZx8V91A7u8Fuoh1,spotify:track:5VSJ9OfZx8V91A7u8Fuoh1,https://api.spotify.com/v1/tracks/5VSJ9OfZx8V91A7u8Fuoh1,https://api.spotify.com/v1/audio-analysis/5VSJ9OfZx8V91A7u8Fuoh1,313163,4,Aaoge Tum Kabhi,The Local Train
11791,0.3,0.0381,8,-20.691,1,0.0327,0.984,0.932,0.116,0.0595,72.332,audio_features,0TEZDqtGjqPwcaFx3Mzpbz,spotify:track:0TEZDqtGjqPwcaFx3Mzpbz,https://api.spotify.com/v1/tracks/0TEZDqtGjqPwcaFx3Mzpbz,https://api.spotify.com/v1/audio-analysis/0TEZDqtGjqPwcaFx3Mzpbz,162366,5,Aashiqui (The Love Theme),Mithoon
11792,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,audio_features,0yc6Gst2xkRu0eMLeRMGCX,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/tracks/0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/audio-analysis/0yc6Gst2xkRu0eMLeRMGCX,290617,4,Apocalypse,Cigarettes After Sex
11793,0.532,0.645,7,-7.284,1,0.035,0.0892,0.0,0.118,0.346,92.112,audio_features,7463jwBAI65wW4MKF4x56u,spotify:track:7463jwBAI65wW4MKF4x56u,https://api.spotify.com/v1/tracks/7463jwBAI65wW4MKF4x56u,https://api.spotify.com/v1/audio-analysis/7463jwBAI65wW4MKF4x56u,517440,1,Laadki,Kirtidan Gadhvi
11794,0.237,0.543,7,-8.921,1,0.0372,0.838,3.86e-06,0.0961,0.316,73.896,audio_features,7fpWJr5shT90KiCHXKHxch,spotify:track:7fpWJr5shT90KiCHXKHxch,https://api.spotify.com/v1/tracks/7fpWJr5shT90KiCHXKHxch,https://api.spotify.com/v1/audio-analysis/7fpWJr5shT90KiCHXKHxch,305613,4,Phir Le Aya Dil - Reprise,Pritam
11795,0.499,0.683,6,-6.373,0,0.0334,0.703,0.00161,0.0749,0.295,134.95,audio_features,1juJ3mwsFerctbngtK42G4,spotify:track:1juJ3mwsFerctbngtK42G4,https://api.spotify.com/v1/tracks/1juJ3mwsFerctbngtK42G4,https://api.spotify.com/v1/audio-analysis/1juJ3mwsFerctbngtK42G4,321613,4,Saware,Pritam
11796,0.739,0.716,10,-4.964,1,0.037,0.232,0.0,0.33,0.871,113.943,audio_features,73K33p4Vyz9koXGqmL5eFs,spotify:track:73K33p4Vyz9koXGqmL5eFs,https://api.spotify.com/v1/tracks/73K33p4Vyz9koXGqmL5eFs,https://api.spotify.com/v1/audio-analysis/73K33p4Vyz9koXGqmL5eFs,160194,4,Malang Sajna,Sachet Tandon
11797,0.464,0.391,6,-9.884,1,0.0384,0.755,9.64e-05,0.105,0.418,106.887,audio_features,4LtSTc3xANVhYeeN69nscM,spotify:track:4LtSTc3xANVhYeeN69nscM,https://api.spotify.com/v1/tracks/4LtSTc3xANVhYeeN69nscM,https://api.spotify.com/v1/audio-analysis/4LtSTc3xANVhYeeN69nscM,233472,4,Aaftaab,The Local Train
11798,0.237,0.543,7,-8.921,1,0.0372,0.838,3.86e-06,0.0961,0.316,73.896,audio_features,7fpWJr5shT90KiCHXKHxch,spotify:track:7fpWJr5shT90KiCHXKHxch,https://api.spotify.com/v1/tracks/7fpWJr5shT90KiCHXKHxch,https://api.spotify.com/v1/audio-analysis/7fpWJr5shT90KiCHXKHxch,305613,4,Phir Le Aya Dil - Reprise,Pritam
